dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
Sewerage,000667_lcam_front_lidar.ply,0.10002,799,0.01778,0.12661,0.15001,500,0.00231,0.13011,0.25,200,0.0122,0.14532,strict
Sewerage,000668_lcam_front_lidar.ply,0.10002,799,0.02186,0.13044,0.15001,500,0.00979,0.12976,0.25,200,0.00474,0.06811,strict
Sewerage,000669_lcam_front_lidar.ply,0.10002,799,0.02153,0.12617,0.15001,500,0.00991,0.12866,0.25,200,0.01186,0.12312,strict
Sewerage,000670_lcam_front_lidar.ply,0.10002,799,0.02403,0.1483,0.15001,500,0.00948,0.10263,0.25,200,0.01109,0.17982,strict
Sewerage,000671_lcam_front_lidar.ply,0.10002,799,0.0445,0.04519,0.15001,500,0.0438,0.08835,0.25,200,0.00351,0.1021,strict
Sewerage,000672_lcam_front_lidar.ply,0.10002,799,0.0221,0.14023,0.15001,500,0.02993,0.19012,0.25,200,0.01382,0.18554,standard
Sewerage,000673_lcam_front_lidar.ply,0.10002,799,0.00986,0.12314,0.15001,500,0.02948,0.21869,0.25,200,0.01391,0.18532,standard
Sewerage,000674_lcam_front_lidar.ply,0.10002,799,0.00564,0.05529,0.15001,500,0.00625,0.03586,0.25,200,0.01304,0.15756,loose
Sewerage,000675_lcam_front_lidar.ply,0.10002,799,0.02795,0.10922,0.15001,500,0.02445,0.165,0.25,200,0.00502,0.07212,strict
Sewerage,000676_lcam_front_lidar.ply,0.10002,799,0.01599,0.13616,0.15001,500,0.00885,0.13596,0.25,200,0.01392,0.18258,strict
Sewerage,000677_lcam_front_lidar.ply,0.10002,799,0.02333,0.15007,0.15001,500,0.03044,0.19972,0.25,200,0.0141,0.18689,standard
Sewerage,000678_lcam_front_lidar.ply,0.10002,799,0.01899,0.13016,0.15001,500,0.00955,0.09281,0.25,200,0.01472,0.21648,strict
Sewerage,000679_lcam_front_lidar.ply,0.10002,799,0.01995,0.13453,0.15001,500,0.00703,0.09633,0.25,200,0.01408,0.18775,strict
Sewerage,000680_lcam_front_lidar.ply,0.10002,799,0.02679,0.11755,0.15001,500,0.02073,0.15089,0.25,200,0.01238,0.13425,strict
Sewerage,000681_lcam_front_lidar.ply,0.10002,799,0.01172,0.14407,0.15001,500,0.00542,0.02896,0.25,200,0.00156,0.0864,strict
Sewerage,000682_lcam_front_lidar.ply,0.10002,799,0.00832,0.07591,0.15001,500,0.00729,0.09916,0.25,200,0.01028,0.19446,loose
Sewerage,000683_lcam_front_lidar.ply,0.10002,799,0.00203,0.03356,0.15001,500,0.0288,0.15768,0.25,200,0.01403,0.17884,standard
Sewerage,000684_lcam_front_lidar.ply,0.10002,799,0.01542,0.14644,0.15001,500,0.01347,0.1035,0.25,200,0.01512,0.20184,strict
Sewerage,000685_lcam_front_lidar.ply,0.10002,799,0.00786,0.07296,0.15001,500,0.01255,0.0813,0.25,200,0.00479,0.20489,standard
Sewerage,000686_lcam_front_lidar.ply,0.10002,799,0.01537,0.14434,0.15001,500,0.02479,0.1928,0.25,200,0.012,0.225,standard
Sewerage,000687_lcam_front_lidar.ply,0.10002,799,0.01505,0.13806,0.15001,500,0.00922,0.16614,0.25,200,0.00267,0.10209,strict
Sewerage,000688_lcam_front_lidar.ply,0.10002,799,0.01302,0.10578,0.15001,500,0.01863,0.14856,0.25,200,0.00471,0.05089,standard
Sewerage,000689_lcam_front_lidar.ply,0.10002,799,0.03755,0.05024,0.15001,500,0.01754,0.21447,0.25,200,0.01538,0.20783,strict
Sewerage,000690_lcam_front_lidar.ply,0.10002,799,0.0149,0.13651,0.15001,500,0.01958,0.17886,0.25,200,0.01137,0.13683,standard
Sewerage,000691_lcam_front_lidar.ply,0.10002,799,0.02116,0.14315,0.15001,500,0.03524,0.16184,0.25,200,0.01462,0.18078,standard
Sewerage,000692_lcam_front_lidar.ply,0.10002,799,0.02818,0.11764,0.15001,500,0.02531,0.20096,0.25,200,0.00974,0.15862,strict
Sewerage,000693_lcam_front_lidar.ply,0.10002,799,0.01196,0.14582,0.15001,500,0.03445,0.17303,0.25,200,0.01373,0.15711,standard
Sewerage,000694_lcam_front_lidar.ply,0.10002,799,0.01951,0.04024,0.15001,500,0.02813,0.19323,0.25,200,0.015,0.18642,standard
Sewerage,000695_lcam_front_lidar.ply,0.10002,799,0.03837,0.05046,0.15001,500,0.03696,0.1792,0.25,200,0.01616,0.21931,strict
Sewerage,000696_lcam_front_lidar.ply,0.10002,799,0.01592,0.14081,0.15001,500,0.01379,0.05419,0.25,200,0.01802,0.21899,loose
Sewerage,000697_lcam_front_lidar.ply,0.10002,799,0.02974,0.12211,0.15001,500,0.02061,0.17816,0.25,200,0.01543,0.19808,strict
Sewerage,000698_lcam_front_lidar.ply,0.10002,799,0.01623,0.13639,0.15001,500,0.01387,0.05275,0.25,200,0.00332,0.00491,strict
Sewerage,000699_lcam_front_lidar.ply,0.10002,799,0.02273,0.10071,0.15001,500,0.02068,0.14865,0.25,200,0.01729,0.22087,strict
Sewerage,000700_lcam_front_lidar.ply,0.10002,799,0.01363,0.14585,0.15001,500,0.02889,0.20443,0.25,200,0.00167,0.16015,standard
Sewerage,000701_lcam_front_lidar.ply,0.10002,799,0.00672,0.10868,0.15001,500,0.0517,0.10605,0.25,200,0.00188,0.03365,standard
Sewerage,000702_lcam_front_lidar.ply,0.10002,799,0.0204,0.1404,0.15001,500,0.05207,0.10964,0.25,200,0.00099,0.0006,standard
Sewerage,000703_lcam_front_lidar.ply,0.10002,799,0.00924,0.12771,0.15001,500,0.02257,0.21008,0.25,200,0.01662,0.22186,standard
Sewerage,000704_lcam_front_lidar.ply,0.10002,799,0.02728,0.09441,0.15001,500,0.03491,0.1619,0.25,200,0.01839,0.23107,standard
Sewerage,000705_lcam_front_lidar.ply,0.10002,799,0.01451,0.16266,0.15001,500,0.05014,0.10344,0.25,200,0.00252,0.04848,standard
Sewerage,000706_lcam_front_lidar.ply,0.10002,799,0.00573,0.10655,0.15001,500,0.02135,0.21064,0.25,200,0.01873,0.23354,standard
Sewerage,000707_lcam_front_lidar.ply,0.10002,799,0.01314,0.14721,0.15001,500,0.0184,0.13879,0.25,200,0.00314,0.10896,standard
Sewerage,000708_lcam_front_lidar.ply,0.10002,799,0.01339,0.16074,0.15001,500,0.03616,0.15406,0.25,200,0.0184,0.23255,standard
Sewerage,000709_lcam_front_lidar.ply,0.10002,799,0.00925,0.00436,0.15001,500,0.03651,0.17889,0.25,200,0.01573,0.2114,standard
Sewerage,000710_lcam_front_lidar.ply,0.10002,799,0.01674,0.14539,0.15001,500,0.04668,0.11554,0.25,200,0.09066,0.3201,loose
Sewerage,000711_lcam_front_lidar.ply,0.10002,799,0.00576,0.00198,0.15001,500,0.0399,0.12682,0.25,200,0.00175,0.00226,standard
Sewerage,000712_lcam_front_lidar.ply,0.10002,799,0.01146,0.14533,0.15001,500,0.01938,0.18989,0.25,200,0.00035,0.0001,standard
Sewerage,000713_lcam_front_lidar.ply,0.10002,799,0.00502,0.14545,0.15001,500,0.03918,0.11631,0.25,200,0.00203,0.19407,standard
Sewerage,000714_lcam_front_lidar.ply,0.10002,799,0.00585,0.11367,0.15001,500,0.0429,0.1179,0.25,200,0.00035,0.00011,standard
Sewerage,000715_lcam_front_lidar.ply,0.10002,799,0.02797,0.10868,0.15001,500,0.0167,0.21388,0.25,200,0.01583,0.2184,strict
Sewerage,000716_lcam_front_lidar.ply,0.10002,799,0.01009,0.13052,0.15001,500,0.04214,0.10643,0.25,200,0.01964,0.25755,standard
Sewerage,000717_lcam_front_lidar.ply,0.10002,799,0.012,0.15939,0.15001,500,0.0728,0.12706,0.25,200,0.01879,0.23493,standard
Sewerage,000718_lcam_front_lidar.ply,0.10002,799,0.00653,0.04832,0.15001,500,0.0226,0.21279,0.25,200,0.01889,0.21718,standard
Sewerage,000719_lcam_front_lidar.ply,0.10002,799,0.02984,0.09878,0.15001,500,0.00099,0.0631,0.25,200,0.01616,0.22943,strict
Sewerage,000720_lcam_front_lidar.ply,0.10002,799,0.02595,0.12842,0.15001,500,0.04615,0.11193,0.25,200,0.00052,0.00011,standard
Sewerage,000721_lcam_front_lidar.ply,0.10002,799,0.00851,0.14325,0.15001,500,0.04528,0.09776,0.25,200,0.00094,0.00092,standard
Sewerage,000722_lcam_front_lidar.ply,0.10002,799,0.02818,0.0843,0.15001,500,0.00319,0.05946,0.25,200,0.017,0.23715,strict
Sewerage,000723_lcam_front_lidar.ply,0.10002,799,0.00983,0.14614,0.15001,500,0.01556,0.19565,0.25,200,0.00259,0.30299,standard
Sewerage,000724_lcam_front_lidar.ply,0.10002,799,0.03092,0.1027,0.15001,500,0.00549,0.11019,0.25,200,0.0174,0.25737,strict
Sewerage,000725_lcam_front_lidar.ply,0.10002,799,0.00234,0.09376,0.15001,500,0.00352,0.04812,0.25,200,0.00512,0.03269,loose
Sewerage,000726_lcam_front_lidar.ply,0.10002,799,0.00731,0.08528,0.15001,500,0.01184,0.14023,0.25,200,0.00097,0.0008,standard
Sewerage,000727_lcam_front_lidar.ply,0.10002,799,0.01054,0.1064,0.15001,500,0.00174,0.15477,0.25,200,0.01708,0.24846,loose
Sewerage,000728_lcam_front_lidar.ply,0.10002,799,0.00816,0.14432,0.15001,500,0.01075,0.19324,0.25,200,0.01646,0.23324,loose
Sewerage,000729_lcam_front_lidar.ply,0.10002,799,0.00299,0.14243,0.15001,500,0.05379,0.09758,0.25,200,0.01005,0.16862,standard
Sewerage,000730_lcam_front_lidar.ply,0.10002,799,0.00948,0.1475,0.15001,500,0.0063,0.18953,0.25,200,0.00446,0.06324,strict
Sewerage,000731_lcam_front_lidar.ply,0.10002,799,0.00465,0.13114,0.15001,500,0.00773,0.05444,0.25,200,0.00564,0.10363,standard
Sewerage,000732_lcam_front_lidar.ply,0.10002,799,0.02875,0.08104,0.15001,500,0.00872,0.18698,0.25,200,0.01524,0.20711,strict
