mode,iou,precision,recall,f1,n_frames
rl_v3_model,0.4692101743577695,0.7201296875078317,0.6250350968753977,0.5817382218658937,13556
rl_v4_model,0.4994440171628587,0.7474954050203085,0.6674839011421838,0.6072866879678017,1224
