frame_id,n_points,steps_used,reward,inlier_ratio,iou,precision,recall,f1
000000.ply,49351,1,0.6138212426549401,0.5058661425300399,0.8370364947472455,0.9159623472862006,0.9066650806867294,0.9112900011955525
000001.ply,49383,1,0.6090356716371446,0.5012453678391349,0.8261609358383551,0.9415424393002868,0.8708291297687105,0.90480627377902
000002.ply,49337,1,0.6131443186163158,0.5052394754443926,0.8350306944395159,0.944036586833554,0.8785186291346225,0.9100999748612534
000003.ply,49285,1,0.59937088006074,0.49185350512326265,0.8075149020720976,0.93886390825461,0.8523331585649015,0.8935084309915002
000004.ply,49209,1,0.14737234608039698,0.010587494157572801,0.019448281010862666,1.0,0.019448281010862666,0.03815452215305749
000005.ply,49311,1,0.6170653028359395,0.50972399667417,0.840791249378507,0.9419136662025065,0.8867705446100832,0.9135106978179925
000006.ply,49383,1,0.6036799124495504,0.496122147297653,0.8173420633516192,0.9426122448979591,0.8601437669931841,0.899491713567937
000007.ply,49294,1,0.611372892057441,0.5038544244735668,0.8337304833374827,0.9438337963522164,0.8772546965047526,0.9093271785721212
000008.ply,49369,1,0.5985823148811196,0.4906520286009439,0.8085362400906002,0.943153201502704,0.8499572156702259,0.8941333020234041
000009.ply,49350,1,0.597396311114346,0.4891388044579534,0.8114267429871653,0.9454824143502216,0.8512550818693819,0.8958979391560353
000010.ply,49278,1,0.5911985559496734,0.48317707699176105,0.8016799544419134,0.9459890802183957,0.8401342782543827,0.8899249308573686
000011.ply,49309,1,0.5954964731417373,0.4868685229876899,0.809982174688057,0.9463906360644811,0.8489332287112805,0.8950167421705731
000012.ply,49335,1,0.5961805303952817,0.48853754940711464,0.810468672213925,0.945647664094266,0.8500671341190512,0.8953136661821895
000013.ply,49206,1,0.596829083212572,0.489269601268138,0.8128550501982922,0.9450051921079958,0.8532158259891243,0.8967678360268033
000014.ply,49280,1,0.5999904798829976,0.49202516233766236,0.8118748669929773,0.9440343135233225,0.8529269292394828,0.8961710124500822
000015.ply,49150,1,0.5984209737363164,0.49064089521871823,0.8160993593185153,0.945511092680904,0.8563755868544601,0.898738667717777
000016.ply,49225,1,0.6030223046864673,0.49539867953275774,0.8236406450692165,0.9466497170507668,0.8637333034010551,0.9032927044000548
