mode,iou,precision,recall,f1,n_frames
strict,0.2306141417446438,0.9778152465267809,0.23698703514160774,0.3046691575603979,100
standard,0.31728959793994543,0.9505447280077444,0.3376835547297395,0.3902154791292897,100
loose,0.6306908191158691,0.8777915692868241,0.7118097952354921,0.7191862867871284,100
rl,0.34757670910273647,0.9523914505774499,0.36834373404168824,0.42310984143045904,100
